patientID,read1,read2,sampleType
Brior1_post,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G01/G01_S10_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G01/G01_S10_R2_001.fastq.gz,normal
Brior1_post,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G01/G01_S10_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G01/G01_S10_R2_001.fastq.gz,normal
Brior1_post,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA025712/DNA025712_S7_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA025712/DNA025712_S7_R2_001.fastq.gz,tumor
Brior1_post,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA025712/DNA025712_S7_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA025712/DNA025712_S7_R2_001.fastq.gz,tumor
Brior2_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G02/G02_S11_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G02/G02_S11_R2_001.fastq.gz,normal
Brior2_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G02/G02_S11_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G02/G02_S11_R2_001.fastq.gz,normal
Brior2_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA024014/DNA024014_S9_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA024014/DNA024014_S9_R2_001.fastq.gz,tumor
Brior2_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA024014/DNA024014_S9_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA024014/DNA024014_S9_R2_001.fastq.gz,tumor
Brior3_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G03/G03_S12_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G03/G03_S12_R2_001.fastq.gz,normal
Brior3_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G03/G03_S12_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G03/G03_S12_R2_001.fastq.gz,normal
Brior3_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013564/DNA013564_S6_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013564/DNA013564_S6_R2_001.fastq.gz,tumor
Brior3_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013564/DNA013564_S6_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013564/DNA013564_S6_R2_001.fastq.gz,tumor
Brior4_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R2_001.fastq.gz,normal
Brior4_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R2_001.fastq.gz,normal
Brior4_pre,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013559/DNA013559_S3_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_DNA013559/DNA013559_S3_R2_001.fastq.gz,tumor
Brior4_pre,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013559/DNA013559_S3_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_DNA013559/DNA013559_S3_R2_001.fastq.gz,tumor
Brior4_pre2,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181016_NB501056_0202_AHTNWFBGX7/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R2_001.fastq.gz,normal
Brior4_pre2,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R1_001.fastq.gz,/pipeline/Archives/NextSeq/181115_NB501056_0217_AHHT5MBGX9/ProjectFolders/Project_Tim-Semple/Sample_G04/G04_S13_R2_001.fastq.gz,normal
